,Companies,Incarceration,State-Owned Real Estate,Checkbook,Address Points,Legislative Data,Restaurant Inspections,Population Projections,Vehicle Crashes
Minnesota,,,,http://warehouse.swift.state.mn.us/analytics/saw.dll?dashboard&PortalPath=%2Fshared%2FCitizens%20Portal%2F_portal%2FPaymentsCitizensPortalPublicEntry,,,,,
Mississippi,,,,,,,,,
Missouri,,,,http://mapyourtaxes.mo.gov/MAP/Download/Default.aspx,,,,,
Montana,,,,http://checkbook.mt.gov/,http://geoinfo.msl.mt.gov/home/msdi/structures_and_addresses.aspx,,,,
Nebraska,,,,http://www.statespending.nebraska.gov/,,,,,
Nevada,,,,,,,,,
New Hampshire,,,,,,,,,
New Jersey,,,,,,,,,
New Mexico,,,,http://www.sunshineportalnm.com/sample/#section=Purchases,,,,,
New York,http://www.dos.ny.gov/corps/bus_entity_search.html,http://www.criminaljustice.ny.gov/opca/statistics.htm,http://www.tax.ny.gov/research/property/valuation/sol/index.htm,http://www.openbooknewyork.com/,http://gisservices.dhses.ny.gov/arcgis/rest/services/SAM_Address_Points/MapServer/1,http://www.nysenate.gov/open,https://health.data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,http://labor.ny.gov/stats/nys/statewide-population-data.shtm,http://dmv.ny.gov/org/about-dmv/statistical-summaries
North Carolina,http://www.secretary.state.nc.us/corporations/,http://webapps6.doc.state.nc.us/apps/asqExt/ASQ,http://www.ncspo.com/fis/,http://www.ncopenbook.gov/,http://data.nconemap.com/geoportal/catalog/search/resource/details.page?uuid=%7B9E039D56-5202-43E7-8D36-D09414C0DBD6%7D,no,no,http://www.osbm.state.nc.us/ncosbm/facts_and_figures/socioeconomic_data/population_estimates.shtm,http://nccrashdata.hsrc.unc.edu/
North Dakota,,,,,,,,,
Ohio,http://www.sos.state.oh.us/SOS/Businesses.aspx,http://www.drc.ohio.gov/web/reports/reports.htm,no,http://tos.ohio.gov/transparency/ohios-online-checkbook,no,http://gis3.oit.ohio.gov/geodatadownload/lbrs.aspx,no,http://development.ohio.gov/reports/reports_pop_proj_map.htm,https://ext.dps.state.oh.us/crashstatistics/crashreports.aspx
Oklahoma,,,,https://okreporting.ok.gov/analytics/saw.dll?Dashboard&PortalPath=/shared/Treasurer/_portal/Checkbook&Page=Checkbook&NQUser=HR83Ty4j&NQPassword=9OmY3m!q,,,,,
Oregon,,,,,,,,,
Pennsylvania,http://www.dos.pa.gov/BusinessCharities/Business/Pages/default.aspx,http://www.portal.state.pa.us/portal/server.pt/community/statistics/5393/corrections_statistics/494658,https://www.portal.state.pa.us/portal/server.pt/community/real_estate/1346,http://www.pennwatch.pa.gov/spending/,no,can’t find; OS says yes,http://www.agriculture.state.pa.us/portal/server.pt/gateway/PTARGS_0_2_75292_10297_0_43/AgWebsite/ProgramDetail.aspx?name=Food-Safety-Inspection-Results&navid=12&parentnavid=0&palid=54&,http://pasdc.hbg.psu.edu/Data/Projections/tabid/1013/Default.aspx,http://www.dot.state.pa.us/Internet/Bureaus/pdBHSTE.nsf/InfoFbListing?OpenForm
Puerto Rico,,,,,,,,,
Rhode Island,,,,http://www.ri.gov/opengovernment/,http://www.edc.uri.edu/rigis/data/data.aspx?ISO=structure,,,,
South Carolina,,,,https://ssl.sc.gov/SpendingTransparency/MonthlyExpenditureMain.aspx,,,,,
South Dakota,,,,http://www.open.sd.gov/,http://arcgis.sd.gov/arcgis/rest/services/BIT/AddressViewer/MapServer/0,,,,
Tennessee,,,,https://og.edison.tn.gov/,,,,,
Texas,https://direct.sos.state.tx.us/help/help-corp.asp?pg=bulk,,,http://www.texastransparency.org/State_Finance/Spending/,,,,,
Utah,,,,http://www.utah.gov/transparency/,https://github.com/openaddresses/openaddresses/blob/master/sources/us-ut.json,,,,
Vermont,,,,http://spotlight.vermont.gov/expenditures,http://vcgi.vermont.gov/warehouse/theme_index,,,,
Virginia,http://www.scc.virginia.gov/clk/purch.aspx,http://vadoc.virginia.gov/about/facts/,http://dgs.virginia.gov/DivisionofRealEstateServices/StateOwnedRealEstate/tabid/1524/Default.aspx,http://datapoint.apa.virginia.gov/exp/exp_checkbook.cfm,http://vgin.maps.arcgis.com/home/item.html?id=100e5e12ddc14748a5ec3b8b997af13a,http://lis.virginia.gov/SiteInformation/ftp.html,http://www.healthspace.com/Clients/VDH/VDH_Website.nsf,http://www.coopercenter.org/demographics/virginia-population-projections,http://www.dmv.virginia.gov/safety/crash_data/
Washington,https://www.sos.wa.gov/corps/AllData.aspx,,,http://fiscal.wa.gov/Checkbook.aspx,,,,,
West Virginia,https://apps.wv.gov/SOS/BusinessEntity/,,,http://www.transparencywv.org/,,,,,
Wisconsin,,,,http://www.openbook.wi.gov/,,,,,
Wyoming,,,,http://sao.state.wy.us/EFT_PAYMTS/EFT_Search_Page.aspx,,,,,
